,Record Year,Job Industry,Job Title,Experience Level,Education Level,Gender,Annual Salary,Monetary Compensation,Total Annual Salary,Age Group,Occupation Country,Occupation City,Race
4215,2021,Computing or Tech,Engagement Manager,Experienced Level,Some college,Male,USD 110000,USD 11000,USD 121000,Mid Life,United States,Seattle,White
4216,2021,Health care,Guest and Volunteer Services Manager,Veteran Level,College degree,Female,USD 62400,USD 300,USD 62700,Experienced,United States,Bemidji,White
4217,2021,Health care,Library Specialist II,Junior Level,College degree,Female,USD 50066,USD 0,USD 50066,Young,United States,Rochester,White
4218,2021,Education (Primary/Secondary),Middle school teacher,Expert Level,Master's degree,Female,USD 82000,USD 0,USD 82000,Senior,United States,Dont want to say,White
4219,2021,Education (Higher Education),Software Developer,Legendary Level,College degree,Non Binary,USD 64000,USD 0,USD 64000,Mid Life,United States,Ann Arbor,White
4221,2021,Media & Digital,Social Supervisor,Legendary Level,College degree,Female,USD 75000,USD 1400,USD 76400,Mid Life,United States,Boston,White
4222,2021,Education (Higher Education),Librarian,Veteran Level,Master's degree,Female,USD 75000,USD 0,USD 75000,Senior,United States,rural,White
4224,2021,Engineering or Manufacturing,Mechanical drafter,Legendary Level,College degree,Male,USD 59426,USD 400,USD 59826,Retired,United States,Kent,White
4226,2021,Nonprofits,Senior Program Manager,Senior Level,Master's degree,Female,USD 120000,USD 0,USD 120000,Junior,United States,"Washington, DC",White
4227,2021,"Marketing, Advertising & PR",Marketing Content Writer,Veteran Level,Master's degree,Female,USD 93000,USD 10000,USD 103000,Senior,United States,Redmond,White
4228,2021,Health care,Pharmacy manager ,Legendary Level,"Professional degree (MD, JD, etc.)",Female,USD 150000,USD 25000,USD 175000,Mid Life,United States,Waco,Multiracial
4230,2021,Public library,IT Librarian,Legendary Level,"Professional degree (MD, JD, etc.)",Male,USD 40000,USD 0,USD 40000,Mid Life,United States,Fallon,White
4231,2021,Engineering or Manufacturing,Mechanical Engineer,Senior Level,Master's degree,Female,USD 123000,USD 5000,USD 128000,Junior,United States,"Cincinnati, OH",White
4232,2021,Government and Public Administration,Trial Court Assistant,Veteran Level,College degree,Female,USD 50000,USD 0,USD 50000,Senior,United States,Benton,White
4233,2021,Health care,Senior Project Manager,Senior Level,Master's degree,Female,USD 96000,USD 6000,USD 102000,Mid Life,United States,Pittsburgh,White
4234,2021,"Marketing, Advertising & PR","Senior Director, Marketing",Veteran Level,College degree,Female,USD 145000,USD 0,USD 145000,Junior,Australia,Durham,White
4235,2021,Computing or Tech,Head of People Operations,Senior Level,College degree,Female,USD 110000,USD 16000,USD 126000,Junior,United States,Santa Clara,White
4236,2021,Property or Construction,Preconstruction coordinator,Senior Level,College degree,Female,USD 49000,USD 1000,USD 50000,Junior,United States,Tampa,White
4237,2021,Computing or Tech,UX Writer,Experienced Level,College degree,Female,USD 163000,USD 107000,USD 270000,Mid Life,Australia,Mountain View,White
4238,2021,Health care,Research Assistant,Junior Level,College degree,Female,USD 41500,USD 0,USD 41500,Young,United States,Boston,Asian or Asian American
4240,2021,"Leisure, Sport & Tourism",Supplier Concierge,Senior Level,College degree,Female,USD 35500,USD 4000,USD 39500,Junior,United States,Raleigh,White
4241,2021,Computing or Tech,Principal Engineer,Veteran Level,PhD,Male,USD 165000,USD 5000,USD 170000,Junior,United States,Boulder,Other or Prefer not to answer
4242,2021,Retail pharmacy,Pharmacy Contracting Manager,Senior Level,Master's degree,Female,USD 102924,USD 8577,USD 111501,Mid Life,United States,Lakeland,White
4243,2021,Business or Consulting,Project Manager,Legendary Level,College degree,Female,USD 86400,USD 4000,USD 90400,Mid Life,United States,"Kansas City, MO",White
4246,2021,Computing or Tech,Network administrator,Legendary Level,Some college,Male,USD 82000,USD 0,USD 82000,Mid Life,United States,Denver,White
4247,2021,Computing or Tech,Technical Account Manager,Senior Level,College degree,Female,USD 88000,USD 8800,USD 96800,Junior,Australia,Atlanta,White
4248,2021,Library,Technical Services Manager,Legendary Level,Master's degree,Female,USD 48028,USD 0,USD 48028,Junior,United States,anonymous,White
4249,2021,"Marketing, Advertising & PR",Account Manager ,Senior Level,Some college,Male,USD 61000,USD 10000,USD 71000,Junior,United States,Fort Worth ,Multiracial
4250,2021,Consumer Good (Toys),Sr. Operations Manager,Senior Level,College degree,Female,CAD 92000,CAD 5000,CAD 97000,Junior,Canada,Toronto,White
4251,2021,Computing or Tech,HR Business Partner,Senior Level,Master's degree,Female,USD 118000,USD 13000,USD 131000,Junior,United States,Boston,White
4253,2021,Computing or Tech,Senior Commission Analyst,Senior Level,Some college,Female,USD 70000,USD 7000,USD 77000,Junior,Australia,Upper Valley,White
4254,2021,Computing or Tech,Customer Success Manager,Senior Level,College degree,Female,USD 98000,USD 13000,USD 111000,Junior,United States,Chicago,White
4255,2021,Business or Consulting,Operations Coordinator ,Senior Level,College degree,Female,USD 53000,USD 2000,USD 55000,Junior,United States,Southfield,White
4258,2021,"Music, education ","Musician, lesson instructor ",Senior Level,Master's degree,Female,USD 100000,USD 0,USD 100000,Junior,Australia,Sunnyvale ,White
4259,2021,"Accounting, Banking & Finance",Senior Accountant,Senior Level,Some college,Female,CAD 73000,CAD 3000,CAD 76000,Junior,Canada,Victoria,White
4260,2021,Mining/Mineral Exploration,Geologist,Experienced Level,College degree,Female,USD 65000,USD 0,USD 65000,Mid Life,United States,Fairbanks ,White
4261,2021,Nonprofits,Administrative Assistant ,Veteran Level,High School,Female,USD 39000,USD 0,USD 39000,Experienced,United States,Cartersville ,Multiracial
4262,2021,Education (Higher Education),PhD student/teaching assistant,Experienced Level,Master's degree,Female,USD 24000,USD 7000,USD 31000,Mid Life,United States,Los Angeles,White
4264,2021,Law,Associate Attorney,Junior Level,"Professional degree (MD, JD, etc.)",Female,Other 62400,Other 1500,Other 63900,Mid Life,Trinidad and Tobago,San Fernando,Other or Prefer not to answer
4265,2021,Education (Higher Education),Asst Professor,Senior Level,PhD,Female,USD 63000,USD 1000,USD 64000,Junior,United States,Hillsdale,White
4266,2021,Health care,Revenue Cycle Sr. Associate,Senior Level,College degree,Female,USD 85700,USD 6000,USD 91700,Mid Life,United States,Boston,White
4267,2021,Law,Litigation Paralegal,Senior Level,College degree,Female,USD 63000,USD 5000,USD 68000,Mid Life,United States,"Portland, ME",White
4268,2021,Nonprofits,Development coordinator,Junior Level,College degree,Female,USD 37796,USD 100,USD 37896,Mid Life,United States,Birmingham,White
4269,2021,Health care,Director of Supply Chain,Experienced Level,Master's degree,Female,USD 104000,USD 9000,USD 113000,Mid Life,United States,Denver,White
4271,2021,"Accounting, Banking & Finance",CEO,Experienced Level,Master's degree,Male,USD 186000,USD 35000,USD 221000,Mid Life,United States,Rochester,White
4273,2021,Computing or Tech,Software Engineer II,Legendary Level,College degree,Female,USD 96000,USD 3000,USD 99000,Mid Life,United States,Boston,White
4275,2021,Law,Paralegal,Junior Level,College degree,Female,USD 70210,USD 15000,USD 85210,Mid Life,United States,Santa Clara,White
4276,2021,Business or Consulting,Senior Manager,Veteran Level,College degree,Female,USD 208000,USD 25000,USD 233000,Experienced,United States,Arlington,White
4278,2021,Business or Consulting,Director of Communications,Senior Level,Master's degree,Female,USD 103000,USD 10000,USD 113000,Junior,Australia,A city small enough to not answer this question,White
4279,2021,Insurance,IT Analyst,Veteran Level,Master's degree,Female,USD 87000,USD 5000,USD 92000,Experienced,United States,Erie,White
4280,2021,Engineering or Manufacturing,Development engineer,Junior Level,Master's degree,Female,GBP 31180,GBP 0,GBP 31180,Mid Life,United Kingdom,Coventry,White
4281,2021,Computing or Tech,Project Coordinator,Experienced Level,College degree,Female,USD 57000,USD 0,USD 57000,Mid Life,Australia,Sacramento,White
4282,2021,Nonprofits,Director of Events,Senior Level,Master's degree,Female,USD 48000,USD 0,USD 48000,Experienced,Australia,Kansas City,White
4286,2021,Biopharma,Associate Scientist II,Junior Level,College degree,Female,USD 74000,USD 9250,USD 83250,Young,Australia,Cambridge,White
4288,2021,Business or Consulting,Customer service supervisor,Senior Level,College degree,Female,USD 60000,USD 2400,USD 62400,Junior,United States,Cleveland ,White
4289,2021,Art & Design,Interior Designer,Experienced Level,College degree,Female,USD 46000,USD 500,USD 46500,Mid Life,United States,Atlanta,White
4290,2021,Government and Public Administration,Senior Web Producer,Veteran Level,College degree,Female,USD 115000,USD 0,USD 115000,Experienced,United States,Seattle,White
4292,2021,Government and Public Administration,Finance Manager,Senior Level,College degree,Female,CAD 146438,CAD 0,CAD 146438,Junior,Canada,Edmonton,White
4293,2021,Health care,LVN,Veteran Level,Some college,Male,USD 77000,USD 0,USD 77000,Experienced,United States,Sacramento,White
4294,2021,Art & Design,Graphic Designer,Experienced Level,College degree,Female,USD 32000,USD 0,USD 32000,Mid Life,United States,Charlotte,Other or Prefer not to answer
4295,2021,Nonprofits,Digital Marketing Manager,Senior Level,Master's degree,Female,USD 75000,USD 2500,USD 77500,Junior,United States,chicago,White
4296,2021,Insurance,Project Manager ,Veteran Level,High School,Female,USD 60000,USD 3000,USD 63000,Junior,United States,Tyler ,White
4297,2021,Utilities & Telecommunications,Lab Technician (Wastewater Treatment),Senior Level,College degree,Female,USD 56000,USD 2314,USD 58314,Junior,United States,St. Louis,Multiracial
4298,2021,Retail,Senior Sales Associate,Experienced Level,Some college,Female,CAD 37440,CAD 1400,CAD 38840,Mid Life,Canada,"Whistler, BC",White
4300,2021,Recruitment or HR,Human Resources Representative,Legendary Level,College degree,Female,USD 54080,USD 1000,USD 55080,Mid Life,United States,Petaluma,White
4301,2021,Health care,Office Manager,Junior Level,Master's degree,Female,USD 40000,USD 1500,USD 41500,Mid Life,United States,Brambleton,White
4302,2021,Art & Design,Operations Lead,Experienced Level,College degree,Female,USD 66500,USD 5000,USD 71500,Mid Life,United States,Chicago,White
4303,2021,Nonprofits,Grant Management Specialist ,Senior Level,Master's degree,Female,USD 70000,USD 0,USD 70000,Junior,United States,Denver,White
4304,2021,Computing or Tech,Field Services Regional Supervisor,Veteran Level,Master's degree,Male,USD 90000,USD 7200,USD 97200,Experienced,United States,Chandler,White
4306,2021,Government and Public Administration,Research Scientist 2,Junior Level,PhD,Female,USD 76485,USD 0,USD 76485,Mid Life,United States,Albany,White
4307,2021,Media & Digital,Associate Editor,Legendary Level,Master's degree,Female,USD 80964,USD 0,USD 80964,Mid Life,United States,New York City,White
4308,2021,"Accounting, Banking & Finance",Business Consultant,Experienced Level,College degree,Female,USD 90000,USD 10000,USD 100000,Mid Life,United States,Des Moines,Multiracial
4310,2021,Engineering or Manufacturing,Senior Manager - Marketing,Senior Level,College degree,Female,USD 100000,USD 6000,USD 106000,Mid Life,United States,Pittsburgh,White
4311,2021,"Marketing, Advertising & PR",Consumer Insights Manager,Senior Level,PhD,Female,USD 134500,USD 28000,USD 162500,Junior,United States,New York City,Multiracial
4312,2021,Recruitment or HR,HR Specialist,Experienced Level,Master's degree,Female,USD 80000,USD 0,USD 80000,Junior,United States,Wilkes-Barre,Black or African American
4313,2021,Education (Higher Education),Professor of English,Senior Level,PhD,Female,USD 85000,USD 7000,USD 92000,Experienced,United States,Marquette,White
4314,2021,"Accounting, Banking & Finance",Senior Financial Analyst,Veteran Level,Master's degree,Female,USD 67000,USD 0,USD 67000,Junior,United States,Iowa City,White
4315,2021,Nonprofits,Youth Services Manager,Senior Level,Master's degree,Female,USD 63000,USD 0,USD 63000,Junior,United States,Greater Cleveland,White
4317,2021,Law,eDiscovery Manager,Legendary Level,College degree,Female,USD 90000,USD 10000,USD 100000,Mid Life,United States,Atlanta,White
4318,2021,Entertainment,Entertainment media translator,Senior Level,College degree,Female,USD 65000,USD 10000,USD 75000,Junior,United States,Seattle,White
4319,2021,"Marketing, Advertising & PR",SEO Specialist,Experienced Level,College degree,Male,USD 75000,USD 0,USD 75000,Junior,United States,Chicago,Black or African American
4322,2021,Computing or Tech,Tech Support Tier 1,Experienced Level,College degree,Non Binary,USD 52000,USD 0,USD 52000,Mid Life,United States,Portland,White
4323,2021,"Marketing, Advertising & PR",E-Commerce & Marketing Manager,Senior Level,High School,Female,USD 60000,USD 0,USD 60000,Experienced,United States,MCKINNEY,White
4325,2021,Health care,Data Specialist,Senior Level,College degree,Female,USD 73308,USD 12500,USD 85808,Mid Life,United States,Kansas City Region,White
4327,2021,Government and Public Administration,Office assistant ,Entry Level,College degree,Female,USD 35000,USD 2000,USD 37000,Mid Life,United States,Rural,White
4329,2021,Nonprofits,Research Manager,Senior Level,Master's degree,Female,USD 72500,USD 0,USD 72500,Junior,United States,Chicago,White
4331,2021,Biomedical Research,Postdoctoral Fellow,Junior Level,PhD,Female,USD 54285,USD 0,USD 54285,Mid Life,United States,Phoenix,White
4333,2021,Education (Higher Education),Senior Research Administrator,Senior Level,Master's degree,Female,USD 82000,USD 0,USD 82000,Junior,United States,Rural New England,White
4334,2021,Education (Primary/Secondary),Teacher,Legendary Level,Master's degree,Female,USD 50000,USD 3000,USD 53000,Mid Life,United States,Fallon,White
4335,2021,Education (Higher Education),Part-Time Reference Librarian,Senior Level,Master's degree,Female,USD 52332,USD 0,USD 52332,Junior,United States,Houston,White
4336,2021,Health care,Registered Nurse,Experienced Level,College degree,Female,USD 88000,USD 10000,USD 98000,Mid Life,United States,Anchorage ,White
4337,2021,Government Contractor,Instructional Developer,Senior Level,College degree,Female,USD 61442,USD 0,USD 61442,Junior,United States,Orlando,White
4338,2021,Government and Public Administration,Strategic Projects Manager,Legendary Level,Master's degree,Male,USD 78000,USD 0,USD 78000,Mid Life,United States,Chicago,White
4341,2021,Insurance,Actuarial associate ,Experienced Level,College degree,Female,USD 101500,USD 7000,USD 108500,Mid Life,United States,Cleveland ,White
4344,2021,"Accounting, Banking & Finance",Program Manager,Veteran Level,Master's degree,Male,USD 118000,USD 15000,USD 133000,Experienced,United States,Minneapolis,White
4345,2021,Education (Primary/Secondary),Teacher/High School Dept Chair,Veteran Level,Master's degree,Female,USD 70135,USD 0,USD 70135,Junior,United States,Houston,White
4346,2021,Engineering or Manufacturing,Biomedical Engineer,Experienced Level,PhD,Female,USD 141000,USD 3000,USD 144000,Junior,United States,DC,White
4347,2021,Media & Digital,science writer,Legendary Level,PhD,Female,USD 90000,USD 0,USD 90000,Junior,United States,Seattle,White
4348,2021,Entertainment,writer,Veteran Level,College degree,Other,USD 15000,USD 0,USD 15000,Junior,United States,San Francisco,Other or Prefer not to answer
4349,2021,Education (Primary/Secondary),School Library Technician,Senior Level,Master's degree,Female,USD 41600,USD 0,USD 41600,Junior,United States,Escondido ,White
4350,2021,Computing or Tech,Sr Tech Consultant,Senior Level,Master's degree,Female,USD 180000,USD 20000,USD 200000,Junior,United States,Remote,White
4351,2021,Health care,Intern Doctor,Entry Level,"Professional degree (MD, JD, etc.)",Female,EUR 37502,EUR 2000,EUR 39502,Mid Life,Ireland,Dublin,White
4352,2021,Government and Public Administration,Office Manager,Junior Level,College degree,Female,USD 54000,USD 2250,USD 56250,Young,United States,Washington,White
4353,2021,"Accounting, Banking & Finance",Accountant,Legendary Level,College degree,Female,USD 52000,USD 2500,USD 54500,Mid Life,United States,Miami,White
4355,2021,Government and Public Administration,Admin,Junior Level,College degree,Female,USD 61200,USD 200,USD 61400,Mid Life,Australia,Sacramento,Other or Prefer not to answer
4357,2021,Computing or Tech,IT Specialist,Veteran Level,College degree,Female,USD 50000,USD 15000,USD 65000,Experienced,United States,Boise,White
4358,2021,Law,Solicitor,Experienced Level,Master's degree,Female,GBP 45000,GBP 0,GBP 45000,Mid Life,United Kingdom,"Small town called Reigate, in Surrey just outside London",White
4359,2021,Education (Primary/Secondary),Teacher,Senior Level,College degree,Female,CAD 46500,CAD 0,CAD 46500,Mid Life,Canada,London,White
4361,2021,Hospitality & Events,Operations Manager,Veteran Level,High School,Female,USD 57000,USD 0,USD 57000,Experienced,Australia,Scranton,White
4362,2021,Education (Higher Education),Department chair and associate professor,Senior Level,PhD,Female,USD 130700,USD 0,USD 130700,Junior,United States,New York,White
4363,2021,Education (Primary/Secondary),Human Resources Manager,Senior Level,College degree,Female,USD 80000,USD 0,USD 80000,Junior,United States,Boston,White
4364,2021,Computing or Tech,Senior software engineer,Legendary Level,College degree,Male,USD 110000,USD 5000,USD 115000,Junior,United States,Chicago,White
4365,2021,Computing or Tech,Software Engineer,Entry Level,College degree,Male,GBP 39000,GBP 1000,GBP 40000,Young,United Kingdom,London,Other or Prefer not to answer
4367,2021,Retail,Senior Business Analyst ,Senior Level,College degree,Female,USD 80000,USD 7000,USD 87000,Junior,United States,Minneapolis ,White
4368,2021,Nonprofits,Director,Junior Level,PhD,Female,USD 72000,USD 0,USD 72000,Mid Life,United States,Minneapolis,White
4369,2021,Sales,Library Sales Representative,Legendary Level,College degree,Female,USD 55000,USD 5000,USD 60000,Mid Life,United States,New York City ,White
4371,2021,Library,Department Head,Senior Level,Master's degree,Female,USD 69000,USD 0,USD 69000,Junior,United States,Chicago (suburbs),White
4372,2021,Library,Circulation Specialist,Legendary Level,Some college,Female,USD 31200,USD 0,USD 31200,Junior,United States,Dallas,White
4373,2021,Health care,Undergraduate Research Assistant,Junior Level,Some college,Non Binary,USD 17000,USD 0,USD 17000,Retired,United States,Shreveport,White
4374,2021,Health care,Senior Analyst,Senior Level,College degree,Female,USD 103000,USD 5000,USD 108000,Junior,Australia,Seattle,White
4375,2021,Computing or Tech,Program Manager,Veteran Level,Master's degree,Male,USD 165000,USD 30000,USD 195000,Junior,United States,WFH Kenilworth ,White
4376,2021,Education (Higher Education),Senior Academic Advisor II,Veteran Level,College degree,Female,USD 59000,USD 0,USD 59000,Experienced,United States,Tucson,White
4377,2021,Computing or Tech,Instructional Designer,Expert Level,Master's degree,Male,USD 125000,USD 10000,USD 135000,Senior,United States,Kirkland,White
4378,2021,Property or Construction,Human Resources Generalist,Senior Level,College degree,Female,USD 68000,USD 4000,USD 72000,Junior,United States,Minneapolis,White
4379,2021,Law,Senior Litigation Paralegal,Expert Level,College degree,Female,USD 75420,USD 300,USD 75720,Senior,Australia,Louisville,White
4380,2021,Entertainment,Creative Producer,Experienced Level,College degree,Female,USD 91200,USD 20000,USD 111200,Mid Life,United States,Seattle,White
4381,2021,Property or Construction,Revenue Accountant,Senior Level,Some college,Female,CAD 56000,CAD 0,CAD 56000,Experienced,Canada,Hamilton,White
4382,2021,Government and Public Administration,Stewardship Coordinator,Experienced Level,College degree,Female,USD 51500,USD 0,USD 51500,Mid Life,United States,Philadelphia suburbs,White
4383,2021,Property or Construction,Office Manager,Veteran Level,Some college,Female,USD 46000,USD 46000,USD 92000,Experienced,Australia,"Stillwater: WI based company, office in MN",White
4384,2021,Insurance,Manager,Legendary Level,College degree,Female,USD 158160,USD 21035,USD 179195,Senior,United States,Renton,White
4385,2021,Engineering or Manufacturing,Controller,Senior Level,College degree,Female,USD 90000,USD 0,USD 90000,Junior,United States,Springfield,White
4386,2021,Computing or Tech,Office assistant ,Legendary Level,College degree,Female,USD 40400,USD 0,USD 40400,Mid Life,United States,Waltham,Multiracial
4388,2021,Property or Construction,Finance Manager,Senior Level,College degree,Female,USD 105000,USD 0,USD 105000,Junior,United States,Tempe,White
4389,2021,Law,Litigation Paralegal,Experienced Level,Some college,Female,USD 75000,USD 17000,USD 92000,Junior,Australia,Issaquah,White
4390,2021,Sales,Senior Layout Specialist,Veteran Level,College degree,Female,USD 50003,USD 2000,USD 52003,Senior,United States,Chapel Hill,White
4393,2021,Education (Higher Education),Head of Library Public Services,Experienced Level,Master's degree,Female,USD 76000,USD 0,USD 76000,Junior,United States,Bowling Green,White
4395,2021,Health care,Family physician,Legendary Level,"Professional degree (MD, JD, etc.)",Female,USD 175000,USD 25000,USD 200000,Junior,United States,Gainesville,White
4396,2021,Nonprofits,Membership & Student Academy Specialist,Legendary Level,Some college,Female,USD 41000,USD 0,USD 41000,Mid Life,United States,Reston,White
4397,2021,"Arts, Culture and Heritage",Communications Officer,Junior Level,College degree,Female,GBP 27030,GBP 0,GBP 27030,Mid Life,United Kingdom,London,Other or Prefer not to answer
4399,2021,Corporate Learning and Development,Sr. Instructional Designer,Veteran Level,Master's degree,Female,USD 80000,USD 8000,USD 88000,Experienced,United States,Kansas City,White
4400,2021,"Accounting, Banking & Finance",Sr Data Analyst,Veteran Level,College degree,Male,USD 127000,USD 12000,USD 139000,Experienced,United States,Twin Cities suburbs,Multiracial
4401,2021,Nonprofits,Communications Director,Senior Level,College degree,Female,USD 111000,USD 0,USD 111000,Junior,United States,"Takoma Park, MD",White
4402,2021,Sales,Sales Associate,Veteran Level,Some college,Female,USD 55000,USD 5000,USD 60000,Junior,United States,Houston,Black or African American
4404,2021,"Marketing, Advertising & PR",Data Strategist ,Legendary Level,College degree,Non Binary,GBP 42000,GBP 0,GBP 42000,Mid Life,United Kingdom,London ,White
4406,2021,Insurance,Director of Customer Service,Veteran Level,College degree,Female,USD 140000,USD 0,USD 140000,Experienced,United States,San Francisco,White
4407,2021,Computing or Tech,Staff Accountant,Legendary Level,College degree,Female,USD 56160,USD 250,USD 56410,Mid Life,United States,DC area,White
4408,2021,Government and Public Administration,Administrative Staff Assistant,Senior Level,Master's degree,Male,USD 76000,USD 6000,USD 82000,Junior,United States,Santa Monica,White
4409,2021,Sales,Account Manager,Junior Level,College degree,Female,USD 80000,USD 40000,USD 120000,Mid Life,United States,Ann Arbor,Black or African American
4410,2021,Education (Higher Education),Assistant Professor,Legendary Level,PhD,Female,USD 69500,USD 7700,USD 77200,Mid Life,United States,Ames,Multiracial
4411,2021,Engineering or Manufacturing,Lead software engineer ,Senior Level,Master's degree,Female,USD 118000,USD 15000,USD 133000,Junior,United States,Medium size city,White
4412,2021,Education (Higher Education),Director of Archives and Special Collections,Senior Level,Master's degree,Female,USD 90119,USD 0,USD 90119,Junior,United States,Omaha,White
4413,2021,Computing or Tech,Finance Analyst,Legendary Level,College degree,Male,USD 115000,USD 11500,USD 126500,Mid Life,United States,Seattle,White
4416,2021,Education (Primary/Secondary),TAP Mentor Teacher,Senior Level,College degree,Female,USD 43939,USD 2000,USD 45939,Junior,United States,Indianapolis,White
4418,2021,Computing or Tech,Associate Software Engineer,Entry Level,College degree,Female,USD 97000,USD 10000,USD 107000,Young,United States,Boston,White
4419,2021,Education (Higher Education),Coordinator,Senior Level,College degree,Female,USD 41200,USD 0,USD 41200,Junior,United States,Trinidad,White
4421,2021,"Accounting, Banking & Finance",Mortgage Loan Processor ,Legendary Level,College degree,Female,USD 38875,USD 3000,USD 41875,Mid Life,United States,Fort wayne,White
4422,2021,Education (Higher Education),Assistant Librarian,Legendary Level,PhD,Female,USD 55000,USD 0,USD 55000,Junior,United States,Louisville,White
4425,2021,Computing or Tech,Systems Support Analyst,Senior Level,Some college,Other,USD 62000,USD 4000,USD 66000,Junior,Australia,Redmond ,White
4426,2021,Computing or Tech,Senior Technical Program Manager,Experienced Level,College degree,Female,USD 132800,USD 5000,USD 137800,Mid Life,United States,Long Beach,White
4428,2021,Nonprofits,Director,Veteran Level,College degree,Female,USD 53500,USD 0,USD 53500,Experienced,United States,Albany,Asian or Asian American
4429,2021,"Marketing, Advertising & PR",Senior manager,Senior Level,Some college,Female,USD 80000,USD 10000,USD 90000,Experienced,United States,Philadelphia,White
4430,2021,Government and Public Administration,Senior Research Applications Developer,Legendary Level,PhD,Female,GBP 53000,GBP 0,GBP 53000,Mid Life,United Kingdom,London,White
4432,2021,Nonprofits,Fundraising Manager,Veteran Level,College degree,Female,USD 70000,USD 0,USD 70000,Experienced,United States,Houston,White
4434,2021,Cannabis,General Manager,Senior Level,College degree,Female,USD 42000,USD 10000,USD 52000,Junior,United States,Fraser,White
4435,2021,Health care,Manager of Strategic Partnerships,Experienced Level,College degree,Female,USD 149000,USD 0,USD 149000,Mid Life,United States,San Mateo,White
4436,2021,Engineering or Manufacturing,Lead Engineer,Senior Level,College degree,Female,USD 126000,USD 6000,USD 132000,Junior,United States,La Crosse,White
4438,2021,Education (Higher Education),Project Manager,Expert Level,Some college,Female,USD 62172,USD 2700,USD 64872,Senior,United States,Knoxville,White
4439,2021,Business or Consulting,Sr. Consulting,Experienced Level,College degree,Female,USD 122000,USD 4000,USD 126000,Mid Life,United States,Bellevue,White
4440,2021,Government and Public Administration,Regulatory Specialist,Senior Level,Master's degree,Female,USD 62000,USD 0,USD 62000,Junior,United States,Lexington,White
4441,2021,Engineering or Manufacturing,Product Marketing Team Lead,Experienced Level,College degree,Female,USD 61000,USD 6000,USD 67000,Mid Life,United States,Central PA,White
4442,2021,Education (Higher Education),Associate Director,Experienced Level,Master's degree,Female,USD 95000,USD 0,USD 95000,Mid Life,United States,Boston,White
4443,2021,"Marketing, Advertising & PR","Associate director, marketing communications",Veteran Level,College degree,Female,USD 171000,USD 20000,USD 191000,Junior,United States,Seattle,White
4445,2021,Nonprofits,Office Manager,Legendary Level,College degree,Female,USD 52000,USD 0,USD 52000,Mid Life,United States,Washington,White
4446,2021,Education (Primary/Secondary),Assistant to the Associate Superintendent,Expert Level,Some college,Female,USD 67900,USD 0,USD 67900,Senior,Australia,Northfield,White
4447,2021,Government and Public Administration,Youth Services Librarian,Experienced Level,Master's degree,Female,USD 39000,USD 0,USD 39000,Mid Life,United States,Corpus Christi,White
4448,2021,Nonprofits,Director ,Veteran Level,PhD,Female,USD 170000,USD 1500,USD 171500,Experienced,United States,Alexandria ,White
4449,2021,Nonprofits,Assistant Director,Senior Level,College degree,Female,USD 94400,USD 4000,USD 98400,Junior,United States,New York City,Black or African American
4450,2021,Nonprofits,Deputy Director ,Experienced Level,Master's degree,Female,USD 76750,USD 0,USD 76750,Mid Life,United States,Newark,White
4451,2021,Biology/Research,Lab tech,Experienced Level,Master's degree,Non Binary,USD 40000,USD 0,USD 40000,Mid Life,United States,New York,Multiracial
4453,2021,Entertainment,Senior counsel,Legendary Level,"Professional degree (MD, JD, etc.)",Female,USD 153000,USD 0,USD 153000,Mid Life,United States,New york,White
4455,2021,Nonprofits,Policy Researcher,Legendary Level,PhD,Female,USD 122000,USD 10000,USD 132000,Mid Life,Australia,Arlington,White
4456,2021,"Accounting, Banking & Finance",Graphic Designer,Senior Level,College degree,Female,USD 57400,USD 3000,USD 60400,Junior,United States,Suburb of Philadelphia,White
4457,2021,Business or Consulting,Management Consultant (public sector),Experienced Level,Master's degree,Female,USD 98000,USD 10000,USD 108000,Mid Life,United States,Seattle,White
4458,2021,Property or Construction,Human Resources Business Partner,Experienced Level,College degree,Female,USD 77800,USD 0,USD 77800,Mid Life,United States,Austin,White
4460,2021,Government and Public Administration,Administrative Contracting Officer,Senior Level,Master's degree,Female,USD 96000,USD 500,USD 96500,Junior,United States,Fort Eustis,White
4461,2021,Insurance,Customer service rep,Senior Level,College degree,Female,CAD 42000,CAD 4000,CAD 46000,Junior,Canada,St. John’s,White
4462,2021,Health care,Business analyst-intermediate,Legendary Level,College degree,Female,USD 75000,USD 3500,USD 78500,Mid Life,United States,Portland,White
4464,2021,"Marketing, Advertising & PR",Graphic Desinger,Senior Level,College degree,Female,USD 64000,USD 6000,USD 70000,Mid Life,United States,Seattle,White
4465,2021,Nonprofits,Senior Director of Development,Senior Level,Master's degree,Female,USD 51000,USD 0,USD 51000,Junior,United States,Orlando,White
4467,2021,For profit education,Director of Operations,Senior Level,College degree,Female,USD 66000,USD 0,USD 66000,Junior,United States,King of Prussia,White
4468,2021,Property or Construction,Project Manager,Senior Level,Master's degree,Female,USD 95000,USD 0,USD 95000,Junior,United States,San Diego,White
4469,2021,Engineering or Manufacturing,Accounting Manager,Senior Level,College degree,Female,USD 120000,USD 30000,USD 150000,Junior,United States,Osceola,White
4471,2021,Publishing,Production Editor,Senior Level,College degree,Non Binary,USD 62000,USD 1500,USD 63500,Mid Life,United States,Alexandria,White
